Date,Product Name,Category,Region,Quantity Sold,Revenue,Profit,Inventory Level,Marketing Spend,Customer Rating,Discount Percentage,Seasonal Event Flag
2024-06-02,AeroFit Runner Tee,Apparel,North America,41,1434.59,842.83,1162,71.7,4.4,0.0,None
2024-06-02,AeroFit Runner Tee,Apparel,EMEA,33,1154.67,683.62,871,36.71,4.2,0.0,None
2024-06-02,AeroFit Runner Tee,Apparel,APAC,39,1364.61,807.12,1024,46.59,4.1,0.0,None
2024-06-02,AeroFit Runner Tee,Apparel,Latin America,20,699.8,402.34,1032,70.16,5.0,0.0,None
2024-06-02,Holo-Knit Hoodie,Apparel,North America,44,3519.56,1918.03,1100,70.92,4.2,0.0,None
2024-06-02,Holo-Knit Hoodie,Apparel,EMEA,34,2719.66,1489.93,1032,23.52,4.4,0.0,None
2024-06-02,Holo-Knit Hoodie,Apparel,APAC,36,2879.64,1574.82,614,35.91,4.4,0.0,None
2024-06-02,Holo-Knit Hoodie,Apparel,Latin America,20,1599.8,859.96,941,79.73,4.6,0.0,None
2024-06-02,EcoTemp Thermostat,Home & Kitchen,North America,14,1819.86,720.62,1061,29.29,4.6,0.0,None
2024-06-02,EcoTemp Thermostat,Home & Kitchen,EMEA,16,2079.84,815.72,642,64.88,4.1,0.0,None
2024-06-02,EcoTemp Thermostat,Home & Kitchen,APAC,15,1949.85,767.4,809,50.17,5.0,0.0,None
2024-06-02,EcoTemp Thermostat,Home & Kitchen,Latin America,8,1039.92,408.18,718,31.15,4.6,0.0,None
2024-06-02,GlowSerum v2,Beauty,North America,34,1699.66,1181.23,746,34.11,4.2,0.0,None
2024-06-02,GlowSerum v2,Beauty,EMEA,26,1299.74,895.53,945,57.16,4.4,0.0,None
2024-06-02,GlowSerum v2,Beauty,APAC,27,1349.73,931.97,960,51.37,4.7,0.0,None
2024-06-02,GlowSerum v2,Beauty,Latin America,15,749.85,513.96,916,43.75,4.7,0.0,None
2024-06-02,Apex Yoga Mat,Sports,North America,19,759.81,484.13,640,38.97,4.5,0.0,None
2024-06-02,Apex Yoga Mat,Sports,EMEA,14,559.86,343.97,1132,79.77,4.1,0.0,None
2024-06-02,Apex Yoga Mat,Sports,APAC,20,799.8,510.89,770,35.91,4.9,0.0,None
2024-06-02,Apex Yoga Mat,Sports,Latin America,9,359.91,226.58,1138,29.46,4.8,0.0,None
2024-06-03,Smart Pro Watch,Electronics,North America,20,3999.8,1785.73,861,56.7,4.0,0.0,None
2024-06-03,Smart Pro Watch,Electronics,EMEA,13,2599.87,1160.45,745,37.96,4.7,0.0,None
2024-06-03,Smart Pro Watch,Electronics,APAC,15,2999.85,1342.92,726,28.06,4.6,0.0,None
2024-06-03,Smart Pro Watch,Electronics,Latin America,10,1999.9,885.88,1217,56.29,4.7,0.0,None
2024-06-03,Neural Headset,Electronics,North America,17,5099.83,2535.4,864,58.05,4.9,0.0,None
2024-06-03,Neural Headset,Electronics,EMEA,14,4199.86,2093.54,789,25.54,4.4,0.0,None
2024-06-03,Neural Headset,Electronics,APAC,15,4499.85,2244.87,891,20.21,4.3,0.0,None
2024-06-03,Neural Headset,Electronics,Latin America,8,2399.92,1186.68,744,53.1,4.4,0.0,None
2024-06-03,AeroFit Runner Tee,Apparel,North America,29,953.83,505.35,1133,170.39,4.6,6.0,None
2024-06-03,AeroFit Runner Tee,Apparel,EMEA,20,699.8,412.97,851,27.65,4.3,0.0,None
2024-06-03,AeroFit Runner Tee,Apparel,APAC,30,1049.7,612.88,994,67.77,4.2,0.0,None
2024-06-03,AeroFit Runner Tee,Apparel,Latin America,12,419.88,245.39,1020,26.17,4.8,0.0,None
2024-06-03,Holo-Knit Hoodie,Apparel,North America,27,2159.73,1176.76,1073,44.38,4.9,0.0,None
2024-06-03,Holo-Knit Hoodie,Apparel,EMEA,21,1679.79,904.24,1011,78.57,4.8,0.0,None
2024-06-03,Holo-Knit Hoodie,Apparel,APAC,25,1999.75,1094.49,589,21.49,4.9,0.0,None
2024-06-03,Holo-Knit Hoodie,Apparel,Latin America,15,1199.85,641.96,926,71.84,4.8,0.0,None
2024-06-03,EcoTemp Thermostat,Home & Kitchen,North America,14,1819.86,711.13,1047,67.24,4.9,0.0,None
2024-06-03,EcoTemp Thermostat,Home & Kitchen,EMEA,10,1299.9,502.71,632,69.0,4.5,0.0,None
2024-06-03,EcoTemp Thermostat,Home & Kitchen,APAC,10,1299.9,503.03,799,67.72,4.2,0.0,None
2024-06-03,EcoTemp Thermostat,Home & Kitchen,Latin America,6,779.94,294.01,712,71.86,5.0,0.0,None
2024-06-03,GlowSerum v2,Beauty,North America,15,749.85,510.27,731,58.49,4.5,0.0,None
2024-06-03,GlowSerum v2,Beauty,EMEA,18,899.82,623.14,927,26.92,5.0,0.0,None
2024-06-03,GlowSerum v2,Beauty,APAC,19,949.81,645.43,941,77.75,4.4,0.0,None
2024-06-03,GlowSerum v2,Beauty,Latin America,12,599.88,410.21,904,38.82,4.6,0.0,None
2024-06-03,Apex Yoga Mat,Sports,North America,12,479.88,301.14,628,43.11,4.7,0.0,None
2024-06-03,Apex Yoga Mat,Sports,EMEA,14,481.48,247.54,1118,151.94,4.7,14.0,None
2024-06-03,Apex Yoga Mat,Sports,APAC,14,559.86,353.45,756,41.85,4.3,0.0,None
2024-06-03,Apex Yoga Mat,Sports,Latin America,8,319.92,190.23,1130,70.88,4.7,0.0,None
2024-06-04,Smart Pro Watch,Electronics,North America,15,2999.85,1340.29,846,38.56,4.3,0.0,None
2024-06-04,Smart Pro Watch,Electronics,EMEA,14,2799.86,1248.63,731,45.23,4.9,0.0,None
2024-06-04,Smart Pro Watch,Electronics,APAC,14,2799.86,1241.39,712,74.17,4.5,0.0,None
2024-06-04,Smart Pro Watch,Electronics,Latin America,11,2023.9,779.46,1206,138.0,4.7,8.0,None
2024-06-04,Neural Headset,Electronics,North America,18,5399.82,2688.28,846,46.53,4.9,0.0,None
2024-06-04,Neural Headset,Electronics,EMEA,14,4199.86,2092.38,775,30.18,4.1,0.0,None
2024-06-04,Neural Headset,Electronics,APAC,13,3899.87,1935.44,878,57.98,4.8,0.0,None
2024-06-04,Neural Headset,Electronics,Latin America,11,3299.89,1641.57,733,33.48,4.2,0.0,None
2024-06-04,AeroFit Runner Tee,Apparel,North America,41,1334.17,719.09,1092,164.97,4.6,7.0,None
2024-06-04,AeroFit Runner Tee,Apparel,EMEA,23,804.77,467.42,828,61.78,4.5,0.0,None
2024-06-04,AeroFit Runner Tee,Apparel,APAC,31,1084.69,635.97,963,59.36,4.8,0.0,None
2024-06-04,AeroFit Runner Tee,Apparel,Latin America,16,559.84,324.53,1004,45.51,4.2,0.0,None
2024-06-04,Holo-Knit Hoodie,Apparel,North America,32,2559.68,1395.05,1041,51.08,4.8,0.0,None
2024-06-04,Holo-Knit Hoodie,Apparel,EMEA,23,1839.77,994.85,988,68.08,4.7,0.0,None
2024-06-04,Holo-Knit Hoodie,Apparel,APAC,32,2559.68,1393.89,557,55.73,4.6,0.0,None
2024-06-04,Holo-Knit Hoodie,Apparel,Latin America,15,1199.85,647.35,911,50.29,4.8,0.0,None
2024-06-04,EcoTemp Thermostat,Home & Kitchen,North America,12,1559.88,605.49,1035,73.83,4.3,0.0,None
2024-06-04,EcoTemp Thermostat,Home & Kitchen,EMEA,7,909.93,349.41,625,58.26,4.8,0.0,None
2024-06-04,EcoTemp Thermostat,Home & Kitchen,APAC,10,1299.9,505.56,789,57.6,4.3,0.0,None
2024-06-04,EcoTemp Thermostat,Home & Kitchen,Latin America,6,779.94,302.18,706,39.18,4.5,0.0,None
2024-06-04,GlowSerum v2,Beauty,North America,19,949.81,656.4,712,33.88,4.1,0.0,None
2024-06-04,GlowSerum v2,Beauty,EMEA,13,649.87,441.77,914,52.56,4.4,0.0,None
2024-06-04,GlowSerum v2,Beauty,APAC,21,1049.79,723.55,920,45.21,4.7,0.0,None
2024-06-04,GlowSerum v2,Beauty,Latin America,11,549.89,368.44,893,65.94,4.4,0.0,None
2024-06-04,Apex Yoga Mat,Sports,North America,21,764.21,428.95,607,165.34,4.7,9.0,None
2024-06-04,Apex Yoga Mat,Sports,EMEA,10,399.9,245.88,1108,56.2,4.2,0.0,None
2024-06-04,Apex Yoga Mat,Sports,APAC,13,519.87,326.38,743,46.15,4.7,0.0,None
2024-06-04,Apex Yoga Mat,Sports,Latin America,7,279.93,174.48,1123,29.9,4.5,0.0,None
2024-06-05,Smart Pro Watch,Electronics,North America,19,3799.81,1695.58,827,57.34,4.6,0.0,None
2024-06-05,Smart Pro Watch,Electronics,EMEA,18,3203.84,1192.4,713,126.17,4.1,11.0,None
2024-06-05,Smart Pro Watch,Electronics,APAC,13,2599.87,1161.77,699,32.7,4.4,0.0,None
2024-06-05,Smart Pro Watch,Electronics,Latin America,11,2199.89,972.47,1195,69.92,4.3,0.0,None
2024-06-05,Neural Headset,Electronics,North America,8,2399.92,1194.67,838,21.16,4.3,0.0,None
2024-06-05,Neural Headset,Electronics,EMEA,11,3299.89,1633.23,764,66.87,4.7,0.0,None
2024-06-05,Neural Headset,Electronics,APAC,16,4799.84,2380.68,862,76.98,4.2,0.0,None
2024-06-05,Neural Headset,Electronics,Latin America,10,2999.9,1484.91,723,60.17,4.6,0.0,None
2024-06-05,AeroFit Runner Tee,Apparel,North America,30,1049.7,614.33,1062,61.97,4.6,0.0,None
2024-06-05,AeroFit Runner Tee,Apparel,EMEA,20,699.8,413.16,808,26.87,4.8,0.0,None
2024-06-05,AeroFit Runner Tee,Apparel,APAC,28,979.72,581.21,935,26.49,4.7,0.0,None
2024-06-05,AeroFit Runner Tee,Apparel,Latin America,16,559.84,324.95,988,43.8,4.7,0.0,None
2024-06-05,Holo-Knit Hoodie,Apparel,North America,40,2815.65,1353.28,1001,90.19,4.6,12.0,None
2024-06-05,Holo-Knit Hoodie,Apparel,EMEA,17,1359.83,728.15,971,79.03,4.8,0.0,None
2024-06-05,Holo-Knit Hoodie,Apparel,APAC,23,1839.77,1000.45,534,45.7,4.3,0.0,None
2024-06-05,Holo-Knit Hoodie,Apparel,Latin America,18,1439.82,774.57,893,69.34,4.1,0.0,None
2024-06-05,EcoTemp Thermostat,Home & Kitchen,North America,12,1559.88,609.42,1023,58.14,4.4,0.0,None
2024-06-05,EcoTemp Thermostat,Home & Kitchen,EMEA,7,909.93,344.49,618,77.93,4.3,0.0,None
2024-06-05,EcoTemp Thermostat,Home & Kitchen,APAC,9,1169.91,454.89,780,52.29,4.7,0.0,None
2024-06-05,EcoTemp Thermostat,Home & Kitchen,Latin America,6,779.94,294.2,700,71.1,4.8,0.0,None
2024-06-05,GlowSerum v2,Beauty,North America,21,1049.79,716.63,691,72.9,4.6,0.0,None
2024-06-05,GlowSerum v2,Beauty,EMEA,17,849.83,589.45,897,21.72,4.9,0.0,None
2024-06-05,GlowSerum v2,Beauty,APAC,18,899.82,621.69,902,32.73,4.9,0.0,None
2024-06-05,GlowSerum v2,Beauty,Latin America,10,499.9,340.78,883,36.58,4.0,0.0,None
2024-06-05,Apex Yoga Mat,Sports,North America,13,519.87,331.63,594,25.14,4.8,0.0,None
2024-06-05,Apex Yoga Mat,Sports,EMEA,9,359.91,219.25,1099,58.75,4.5,0.0,None
2024-06-05,Apex Yoga Mat,Sports,APAC,12,479.88,305.53,731,25.58,4.3,0.0,None
2024-06-05,Apex Yoga Mat,Sports,Latin America,9,359.91,221.84,1114,48.4,4.5,0.0,None
2024-06-06,Smart Pro Watch,Electronics,North America,16,3199.84,1423.74,811,64.76,4.3,0.0,None
2024-06-06,Smart Pro Watch,Electronics,EMEA,15,2999.85,1343.12,698,27.24,4.2,0.0,None
2024-06-06,Smart Pro Watch,Electronics,APAC,15,2999.85,1336.89,684,52.15,4.2,0.0,None
2024-06-06,Smart Pro Watch,Electronics,Latin America,9,1799.91,794.09,1186,63.48,5.0,0.0,None
2024-06-06,Neural Headset,Electronics,North America,18,5399.82,2690.66,820,36.98,4.2,0.0,None
2024-06-06,Neural Headset,Electronics,EMEA,13,3899.87,1944.72,751,20.85,4.5,0.0,None
2024-06-06,Neural Headset,Electronics,APAC,13,3899.87,1930.32,849,78.46,4.1,0.0,None
2024-06-06,Neural Headset,Electronics,Latin America,9,2699.91,1337.59,714,49.45,4.9,0.0,None
2024-06-06,AeroFit Runner Tee,Apparel,North America,27,944.73,554.8,1035,48.16,4.1,0.0,None
2024-06-06,AeroFit Runner Tee,Apparel,EMEA,23,804.77,470.7,785,48.66,4.8,0.0,None
2024-06-06,AeroFit Runner Tee,Apparel,APAC,24,839.76,497.75,911,24.44,4.1,0.0,None
2024-06-06,AeroFit Runner Tee,Apparel,Latin America,15,524.85,305.35,973,38.23,5.0,0.0,None
2024-06-06,Holo-Knit Hoodie,Apparel,North America,24,1919.76,1039.4,977,65.87,4.2,0.0,None
2024-06-06,Holo-Knit Hoodie,Apparel,EMEA,19,1519.81,824.14,952,47.03,4.4,0.0,None
2024-06-06,Holo-Knit Hoodie,Apparel,APAC,25,1999.75,1080.01,509,79.4,4.6,0.0,None
2024-06-06,Holo-Knit Hoodie,Apparel,Latin America,19,1519.81,816.68,874,76.86,4.2,0.0,None
2024-06-06,EcoTemp Thermostat,Home & Kitchen,North America,12,1559.88,609.04,1011,59.63,4.1,0.0,None
2024-06-06,EcoTemp Thermostat,Home & Kitchen,EMEA,12,1403.89,440.68,606,109.13,4.2,10.0,None
2024-06-06,EcoTemp Thermostat,Home & Kitchen,APAC,8,1039.92,400.42,772,62.18,4.9,0.0,None
2024-06-06,EcoTemp Thermostat,Home & Kitchen,Latin America,7,909.93,349.6,693,57.5,4.7,0.0,None
2024-06-06,GlowSerum v2,Beauty,North America,17,849.83,583.5,674,45.51,4.9,0.0,None
2024-06-06,GlowSerum v2,Beauty,EMEA,15,749.85,518.82,882,24.28,4.2,0.0,None
2024-06-06,GlowSerum v2,Beauty,APAC,17,849.83,578.65,885,64.94,4.1,0.0,None
2024-06-06,GlowSerum v2,Beauty,Latin America,11,549.89,369.43,872,61.98,4.9,0.0,None
2024-06-06,Apex Yoga Mat,Sports,North America,14,559.86,351.5,580,49.63,4.4,0.0,None
2024-06-06,Apex Yoga Mat,Sports,EMEA,10,399.9,251.18,1089,35.02,4.1,0.0,None
2024-06-06,Apex Yoga Mat,Sports,APAC,9,359.91,216.4,722,70.16,5.0,0.0,None
2024-06-06,Apex Yoga Mat,Sports,Latin America,6,239.94,146.92,1108,36.17,4.0,0.0,None
2024-06-07,Smart Pro Watch,Electronics,North America,14,2799.86,1247.88,797,48.23,4.2,0.0,None
2024-06-07,Smart Pro Watch,Electronics,EMEA,10,1999.9,885.43,688,58.09,4.5,0.0,None
2024-06-07,Smart Pro Watch,Electronics,APAC,14,2799.86,1249.72,670,40.88,4.9,0.0,None
2024-06-07,Smart Pro Watch,Electronics,Latin America,11,2199.89,974.55,1175,61.62,4.3,0.0,None
2024-06-07,Neural Headset,Electronics,North America,15,4499.85,2232.72,805,68.81,4.3,0.0,None
2024-06-07,Neural Headset,Electronics,EMEA,13,3899.87,1930.38,738,78.21,4.4,0.0,None
2024-06-07,Neural Headset,Electronics,APAC,14,4199.86,2080.11,835,79.29,4.4,0.0,None
2024-06-07,Neural Headset,Electronics,Latin America,8,2399.92,1189.53,706,41.71,4.8,0.0,None
2024-06-07,AeroFit Runner Tee,Apparel,North America,31,1084.69,634.41,1004,65.6,4.9,0.0,None
2024-06-07,AeroFit Runner Tee,Apparel,EMEA,25,874.75,509.37,760,61.9,4.1,0.0,None
2024-06-07,AeroFit Runner Tee,Apparel,APAC,26,909.74,531.71,885,56.53,4.6,0.0,None
2024-06-07,AeroFit Runner Tee,Apparel,Latin America,17,594.83,350.5,956,25.59,5.0,0.0,None
2024-06-07,Holo-Knit Hoodie,Apparel,North America,34,2719.66,1483.89,943,47.69,4.5,0.0,None
2024-06-07,Holo-Knit Hoodie,Apparel,EMEA,25,1999.75,1087.23,927,50.53,4.3,0.0,None
2024-06-07,Holo-Knit Hoodie,Apparel,APAC,26,2079.74,1124.15,483,78.81,4.4,0.0,None
2024-06-07,Holo-Knit Hoodie,Apparel,Latin America,19,1519.81,823.27,855,50.49,4.9,0.0,None
2024-06-07,EcoTemp Thermostat,Home & Kitchen,North America,12,1559.88,614.81,999,36.57,4.9,0.0,None
2024-06-07,EcoTemp Thermostat,Home & Kitchen,EMEA,8,1039.92,398.66,598,69.23,4.3,0.0,None
2024-06-07,EcoTemp Thermostat,Home & Kitchen,APAC,11,1429.89,558.15,761,55.22,4.1,0.0,None
2024-06-07,EcoTemp Thermostat,Home & Kitchen,Latin America,6,779.94,301.8,687,40.71,4.6,0.0,None
2024-06-07,GlowSerum v2,Beauty,North America,20,999.8,688.03,654,47.32,4.7,0.0,None
2024-06-07,GlowSerum v2,Beauty,EMEA,17,849.83,586.38,865,34.01,4.8,0.0,None
2024-06-07,GlowSerum v2,Beauty,APAC,22,967.81,597.59,863,161.14,4.8,12.0,None
2024-06-07,GlowSerum v2,Beauty,Latin America,13,649.87,442.48,859,49.72,4.0,0.0,None
2024-06-07,Apex Yoga Mat,Sports,North America,16,639.84,402.04,564,55.41,4.4,0.0,None
2024-06-07,Apex Yoga Mat,Sports,EMEA,8,319.92,196.09,1081,47.42,4.7,0.0,None
2024-06-07,Apex Yoga Mat,Sports,APAC,13,519.87,323.09,709,59.29,5.0,0.0,None
2024-06-07,Apex Yoga Mat,Sports,Latin America,8,319.92,192.56,1100,61.56,4.6,0.0,None
2024-06-08,Smart Pro Watch,Electronics,North America,26,5199.74,2322.1,771,71.14,4.3,0.0,None
2024-06-08,Smart Pro Watch,Electronics,EMEA,17,3399.83,1513.53,671,65.56,4.9,0.0,None
2024-06-08,Smart Pro Watch,Electronics,APAC,32,6015.7,2452.85,638,172.09,4.4,6.0,None
2024-06-08,Smart Pro Watch,Electronics,Latin America,13,2599.87,1155.44,1162,58.02,4.9,0.0,None
2024-06-08,Neural Headset,Electronics,North America,25,7499.75,3734.47,780,61.64,4.8,0.0,None
2024-06-08,Neural Headset,Electronics,EMEA,18,5399.82,2689.29,720,42.49,4.1,0.0,None
2024-06-08,Neural Headset,Electronics,APAC,22,6599.78,3286.4,813,53.96,4.1,0.0,None
2024-06-08,Neural Headset,Electronics,Latin America,12,3599.88,1785.64,694,57.18,4.2,0.0,None
2024-06-08,AeroFit Runner Tee,Apparel,North America,36,1259.64,748.64,968,28.59,4.3,0.0,None
2024-06-08,AeroFit Runner Tee,Apparel,EMEA,44,1339.42,686.66,716,147.76,4.2,13.0,None
2024-06-08,AeroFit Runner Tee,Apparel,APAC,30,1049.7,619.64,855,40.73,4.4,0.0,None
2024-06-08,AeroFit Runner Tee,Apparel,Latin America,21,734.79,423.19,935,70.72,4.2,0.0,None
2024-06-08,Holo-Knit Hoodie,Apparel,North America,41,3279.59,1791.53,902,48.99,4.6,0.0,None
2024-06-08,Holo-Knit Hoodie,Apparel,EMEA,35,2799.65,1530.38,892,37.71,5.0,0.0,None
2024-06-08,Holo-Knit Hoodie,Apparel,APAC,29,2319.71,1266.72,454,36.47,4.7,0.0,None
2024-06-08,Holo-Knit Hoodie,Apparel,Latin America,29,2064.54,978.07,826,170.42,4.3,11.0,None
2024-06-08,EcoTemp Thermostat,Home & Kitchen,North America,14,1819.86,713.84,985,56.42,4.6,0.0,None
2024-06-08,EcoTemp Thermostat,Home & Kitchen,EMEA,14,1819.86,712.13,584,63.26,4.7,0.0,None
2024-06-08,EcoTemp Thermostat,Home & Kitchen,APAC,16,2079.84,817.51,745,57.69,4.3,0.0,None
2024-06-08,EcoTemp Thermostat,Home & Kitchen,Latin America,8,1039.92,402.28,679,54.77,4.7,0.0,None
2024-06-08,GlowSerum v2,Beauty,North America,29,1449.71,1005.37,625,37.71,4.1,0.0,None
2024-06-08,GlowSerum v2,Beauty,EMEA,21,1049.79,715.28,844,78.29,4.5,0.0,None
2024-06-08,GlowSerum v2,Beauty,APAC,26,1299.74,892.36,837,69.83,4.5,0.0,None
2024-06-08,GlowSerum v2,Beauty,Latin America,20,999.8,683.66,839,64.79,4.3,0.0,None
2024-06-08,Apex Yoga Mat,Sports,North America,24,959.76,604.4,540,77.77,4.9,0.0,None
2024-06-08,Apex Yoga Mat,Sports,EMEA,19,759.81,474.18,1062,78.8,5.0,0.0,None
2024-06-08,Apex Yoga Mat,Sports,APAC,17,679.83,431.4,692,41.95,4.5,0.0,None
2024-06-08,Apex Yoga Mat,Sports,Latin America,10,399.9,244.84,1090,60.37,4.7,0.0,None
2024-06-09,Smart Pro Watch,Electronics,North America,26,5199.74,2322.55,745,69.35,4.2,0.0,None
2024-06-09,Smart Pro Watch,Electronics,EMEA,26,4471.78,1569.04,645,171.53,4.2,14.0,None
2024-06-09,Smart Pro Watch,Electronics,APAC,27,4697.77,1700.36,611,110.22,4.9,13.0,None
2024-06-09,Smart Pro Watch,Electronics,Latin America,14,2799.86,1247.55,1148,49.56,4.1,0.0,None
2024-06-09,Neural Headset,Electronics,North America,19,5699.81,2842.87,761,28.14,4.7,0.0,None
2024-06-09,Neural Headset,Electronics,EMEA,19,5699.81,2838.62,701,45.15,4.7,0.0,None
2024-06-09,Neural Headset,Electronics,APAC,23,6899.77,3438.66,790,44.89,4.4,0.0,None
2024-06-09,Neural Headset,Electronics,Latin America,14,4199.86,2094.44,680,21.96,4.4,0.0,None
2024-06-09,AeroFit Runner Tee,Apparel,North America,43,1504.57,883.48,925,77.03,4.7,0.0,None
2024-06-09,AeroFit Runner Tee,Apparel,EMEA,30,1049.7,610.15,686,78.67,4.4,0.0,None
2024-06-09,AeroFit Runner Tee,Apparel,APAC,41,1434.59,852.91,814,31.39,4.5,0.0,None
2024-06-09,AeroFit Runner Tee,Apparel,Latin America,26,909.74,531.22,909,58.5,4.6,0.0,None
2024-06-09,Holo-Knit Hoodie,Apparel,North America,53,3688.34,1757.43,849,92.59,4.8,13.0,None
2024-06-09,Holo-Knit Hoodie,Apparel,EMEA,30,2399.7,1311.6,862,32.96,4.9,0.0,None
2024-06-09,Holo-Knit Hoodie,Apparel,APAC,35,2799.65,1532.6,419,28.85,4.9,0.0,None
2024-06-09,Holo-Knit Hoodie,Apparel,Latin America,22,1759.78,960.93,804,27.8,4.3,0.0,None
2024-06-09,EcoTemp Thermostat,Home & Kitchen,North America,16,2079.84,817.02,969,59.66,4.8,0.0,None
2024-06-09,EcoTemp Thermostat,Home & Kitchen,EMEA,12,1559.88,614.09,572,39.43,4.2,0.0,None
2024-06-09,EcoTemp Thermostat,Home & Kitchen,APAC,15,1715.87,507.32,730,154.57,4.5,12.0,None
2024-06-09,EcoTemp Thermostat,Home & Kitchen,Latin America,9,1169.91,455.41,670,50.23,4.9,0.0,None
2024-06-09,GlowSerum v2,Beauty,North America,28,1217.76,764.81,597,132.15,4.1,13.0,None
2024-06-09,GlowSerum v2,Beauty,EMEA,24,1199.76,828.81,820,44.1,4.7,0.0,None
2024-06-09,GlowSerum v2,Beauty,APAC,27,1349.73,926.17,810,74.58,4.6,0.0,None
2024-06-09,GlowSerum v2,Beauty,Latin America,21,965.81,617.16,818,134.84,4.3,8.0,None
2024-06-09,Apex Yoga Mat,Sports,North America,16,639.84,402.94,524,51.83,4.1,0.0,None
2024-06-09,Apex Yoga Mat,Sports,EMEA,15,599.85,372.11,1047,71.17,4.7,0.0,None
2024-06-09,Apex Yoga Mat,Sports,APAC,18,719.82,452.07,674,63.25,4.2,0.0,None
2024-06-09,Apex Yoga Mat,Sports,Latin America,12,479.88,300.12,1078,47.21,4.4,0.0,None
2024-06-10,Smart Pro Watch,Electronics,North America,16,3199.84,1428.53,729,45.61,4.2,0.0,None
2024-06-10,Smart Pro Watch,Electronics,EMEA,11,2199.89,983.94,634,24.03,4.8,0.0,None
